class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_2992,4090.358419,0.0400007,4,0.999315537
Marine Hull,Main,Excess,MH_main_2992,2992.692628,0.0400007,4,0.999315537
Marine Hull,Main,Excess,MH_main_2992,1294.417348,0.0400007,4,0.999315537
Marine Hull,Main,Excess,MH_main_2897,1381076.536,0.054118,1,1.409993155
Marine Hull,Main,Excess,MH_main_5492,2432552.13,0.021053,2,1.500342231
Marine Hull,Main,Excess,MH_main_5492,101985.4653,0.021053,2,1.500342231
Marine Hull,Main,Excess,MH_main_2862,18522.2,0.05,1,0.996577687
Marine Hull,Main,Excess,MH_main_2322,10087,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_2322,533.31,0.05,2,0.996577687
Marine Hull,Main,Excess,MH_main_4181,318703.0754,0.0458315,3,0.996577687
Marine Hull,Main,Excess,MH_main_4181,124952.9254,0.0458315,3,0.996577687
Marine Hull,Main,Excess,MH_main_4181,5609.897123,0.0458315,3,0.996577687
Marine Hull,Main,Excess,MH_main_4182,241000,0.11905,2,0.996577687
Marine Hull,Main,Excess,MH_main_4182,474800,0.11905,2,0.996577687
Marine Hull,Main,Excess,MH_main_2364,523643.0618,0.049999975,2,1.056810404
Marine Hull,Main,Excess,MH_main_2364,718310.1592,0.049999975,2,1.056810404
Marine Hull,Main,Excess,MH_main_2946,26251.21313,0.049999975,3,0.999315537
Marine Hull,Main,Excess,MH_main_2946,7214.003607,0.049999975,3,0.999315537
Marine Hull,Main,Excess,MH_main_2946,3449.801725,0.049999975,3,0.999315537
Marine Hull,Main,Excess,MH_main_2365,11843.39315,0.083981,3,0.996577687
Marine Hull,Main,Excess,MH_main_2365,840376.871,0.083981,3,0.996577687
Marine Hull,Main,Excess,MH_main_2365,4505.661995,0.083981,3,0.996577687
Marine Hull,Main,Excess,MH_main_2920,63812.40995,0.083981,1,0.996577687
Marine Hull,Main,Excess,MH_main_3498,1069.489527,0.083981,2,0.999315537
Marine Hull,Main,Excess,MH_main_3498,132512.9494,0.083981,2,0.999315537
Marine Hull,Main,Excess,MH_main_3498,63812.40995,0.083981,2,0.999315537
Marine Hull,Main,Excess,MH_main_4308,63812.36578,0.084281,1,0.999315537
Marine Hull,Main,Excess,MH_main_2498,4091.792,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_2380,194519.6,0.05,1,0.996577687
Marine Hull,Main,Excess,MH_main_2399,5511.959,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_2399,1597.105,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_3539,7109.167,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_2392,906577.3218,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,189904.1799,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,68822.00153,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,49963.11252,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,138684.7102,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,345707.7376,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,316129.6519,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,8498.090145,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,2360598.93,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2392,38439.37575,0.0229075,10,0.996577687
Marine Hull,Main,Excess,MH_main_2953,1130543.708,0.0229075,4,0.999315537
Marine Hull,Main,Excess,MH_main_2953,1088.7264,0.0229075,4,0.999315537
Marine Hull,Main,Excess,MH_main_2953,30553.74877,0.0229075,4,0.999315537
Marine Hull,Main,Excess,MH_main_2953,104116.5557,0.0229075,4,0.999315537
Marine Hull,Main,Excess,MH_main_3530,755288.8792,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_3530,1985.812507,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_3530,199586.1617,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_3530,564111.3173,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_4362,518946.1967,0.0229075,1,0.996577687
Marine Hull,Main,Excess,MH_main_5235,38947.94281,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_5235,21239.3321,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_5235,8100.403798,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_5235,11386.22722,0.0229075,4,0.996577687
Marine Hull,Main,Excess,MH_main_2395,4210,0.05,1,0.996577687
Marine Hull,Main,Excess,MH_main_2442,1875.5,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_3006,3621252.7,0.1,4,0.999315537
Marine Hull,Main,Excess,MH_main_3006,14192.6,0.1,4,0.999315537
Marine Hull,Main,Excess,MH_main_3006,3403.3,0.1,4,0.999315537
